year,group,pct,ci_low,ci_high
2011,Total,28.5,27.2,29.7
2013,Total,29.9,28.3,31.6
2015,Total,29.9,28.0,31.8
2017,Total,31.5,29.6,33.4
2019,Total,36.7,35.1,38.3
2021,Total,42.3,41.0,43.7
2023,Total,39.7,37.7,41.7
2011,Female,35.9,34.1,37.8
2013,Female,39.1,36.8,41.4
2015,Female,39.8,36.5,43.2
2017,Female,41.1,37.4,44.8
2019,Female,46.6,44.4,48.9
2021,Female,56.6,54.6,58.5
2023,Female,52.6,50.1,55.0
2011,Male,21.5,19.9,23.1
2013,Male,20.8,19.4,22.3
2015,Male,20.3,18.9,21.8
2017,Male,21.4,19.7,23.2
2019,Male,26.8,25.2,28.4
2021,Male,28.6,27.1,30.0
2023,Male,27.7,25.9,29.6
